Date,Price
22-03-2023,1125.90
23-03-2023,1123.65
24-03-2023,1110.40
27-03-2023,1100.60
28-03-2023,1097.80
29-03-2023,1104.35
31-03-2023,1139.15
03-04-2023,1139.20
05-04-2023,1132.25
06-04-2023,1139.60
10-04-2023,1140.10
11-04-2023,1153.15
12-04-2023,1214.20
13-04-2023,1238.55
17-04-2023,1263.80
18-04-2023,1270.95
19-04-2023,1278.70
20-04-2023,1267.25
21-04-2023,1280.20
24-04-2023,1290.20
25-04-2023,1306.65
26-04-2023,1251.50
27-04-2023,1256.20
28-04-2023,1272.15
02-05-2023,1249.85
03-05-2023,1243.20
04-05-2023,1229.35
05-05-2023,1225.90
08-05-2023,1225.30
09-05-2023,1240.50
10-05-2023,1282.10
11-05-2023,1262.70
12-05-2023,1274.35
15-05-2023,1259.65
16-05-2023,1257.00
17-05-2023,1246.30
18-05-2023,1249.10
19-05-2023,1230.25
22-05-2023,1224.95
23-05-2023,1246.50
24-05-2023,1268.75
25-05-2023,1254.60
26-05-2023,1274.90
29-05-2023,1267.60
30-05-2023,1293.80
31-05-2023,1287.50
01-06-2023,1265.05
02-06-2023,1286.80
05-06-2023,1284.10
06-06-2023,1283.15
07-06-2023,1290.35
08-06-2023,1283.00
09-06-2023,1284.95
12-06-2023,1293.10
13-06-2023,1302.10
14-06-2023,1320.65
15-06-2023,1354.55
16-06-2023,1363.70
19-06-2023,1338.65
20-06-2023,1321.60
21-06-2023,1341.55
22-06-2023,1328.20
23-06-2023,1300.60
26-06-2023,1288.90
27-06-2023,1274.05
28-06-2023,1254.80
30-06-2023,1239.00
03-07-2023,1227.50
04-07-2023,1220.80
05-07-2023,1221.55
06-07-2023,1217.05
07-07-2023,1206.15
10-07-2023,1230.45
11-07-2023,1214.30
12-07-2023,1244.70
13-07-2023,1244.90
14-07-2023,1230.85
17-07-2023,1239.25
18-07-2023,1256.00
19-07-2023,1269.10
20-07-2023,1278.05
21-07-2023,1281.05
24-07-2023,1287.05
25-07-2023,1249.75
26-07-2023,1231.00
27-07-2023,1235.50
28-07-2023,1240.60
31-07-2023,1265.75
01-08-2023,1297.10
02-08-2023,1284.65
03-08-2023,1255.05
04-08-2023,1274.15
07-08-2023,1265.20
08-08-2023,1272.65
09-08-2023,1285.55
10-08-2023,1267.75
11-08-2023,1267.05
14-08-2023,1264.05
16-08-2023,1258.90
17-08-2023,1240.35
18-08-2023,1225.05
21-08-2023,1227.80
22-08-2023,1260.55
23-08-2023,1236.85
24-08-2023,1215.20
25-08-2023,1218.55
28-08-2023,1235.70
29-08-2023,1235.90
30-08-2023,1262.20
31-08-2023,1260.45
01-09-2023,1258.40
04-09-2023,1250.35
05-09-2023,1297.70
06-09-2023,1289.50
07-09-2023,1289.65
08-09-2023,1280.75
11-09-2023,1293.75
12-09-2023,1289.35
13-09-2023,1285.30
14-09-2023,1283.70
15-09-2023,1314.00
18-09-2023,1318.50
20-09-2023,1318.95
21-09-2023,1312.45
22-09-2023,1342.25
25-09-2023,1333.40
26-09-2023,1322.15
27-09-2023,1301.35
28-09-2023,1323.90
29-09-2023,1338.55
03-10-2023,1332.45
04-10-2023,1313.25
05-10-2023,1292.80
06-10-2023,1298.90
09-10-2023,1289.15
10-10-2023,1281.70
11-10-2023,1294.10
12-10-2023,1293.70
13-10-2023,1276.90
16-10-2023,1275.25
17-10-2023,1295.75
18-10-2023,1283.15
19-10-2023,1319.25
20-10-2023,1311.10
23-10-2023,1297.40
25-10-2023,1294.95
26-10-2023,1269.80
27-10-2023,1283.05
30-10-2023,1285.85
31-10-2023,1292.15
01-11-2023,1295.15
02-11-2023,1304.60
03-11-2023,1302.65
